,Episodic Rewards,Average Rewards,Average Actions
0,-0.5778971488253013,-0.00031665597195906927,3.8567083704496095
1,-0.5435390398457359,-0.00029782961087437647,3.905552870829976
2,-0.5513740419819152,-0.0003021227627298175,3.9125050900002383
3,-10.589986435113437,-0.005802732293212837,3.8023740727872677
4,-0.6273352213404291,-0.0003437453267618793,3.8522754833094943
5,-0.5936755630167195,-0.0003253016783653264,3.8427200768438494
6,-9.538581396885158,-0.005226619943498719,3.7971047331128607
7,-84.02931555650756,-0.0460434605789082,3.69866519801077
8,-129.60491426071127,-0.07101639137573228,3.6727347200039917
9,-171.1210637295995,-0.09376496642717776,3.6529536140606007
10,-697.7731360599146,-0.38234144441639106,3.5397787859830854
11,-505.71820508289915,-0.27710586579884927,3.586745869900571
12,-421.467072467581,-0.23094086162607216,3.5908506688264974
13,-281.328709220813,-0.15415271738126732,3.6120151583654425
14,-116.96529290623451,-0.064090571455471,3.67566442130111
15,-26.5049689206327,-0.014523270641442591,3.7478136571430003
16,-47.437822750798965,-0.02599332753468442,3.739891931428852
17,-44.864336147885794,-0.024583197889252485,3.7677954518587686
18,-299.11055285526726,-0.16389619334535227,3.617447945018636
19,-93.59334296799842,-0.051284023544108694,3.695781660744109
20,-19.889269156221964,-0.010898229674642192,3.7556747463722187
21,-25.923481957595886,-0.01420464764799773,3.7393070859183863
22,-127.47888004916878,-0.06985144112283222,3.70698117794307
23,-94.54150145200656,-0.051803562439455664,3.710325671171856
24,-458.16917844624055,-0.25105160462807674,3.576208824132945
25,-761.6545596688409,-0.4173449642021045,3.524214124804904
26,-721.0165160440553,-0.395077543037838,3.535818862014981
27,-515.8420558905777,-0.2826531813099063,3.590279941189617
28,-78.64737009374565,-0.04309444936643593,3.7121581233998913
29,-113.82946682144284,-0.062372310587091924,3.6942949231057116
30,-7.397654938990412,-0.004053509555611193,3.8267945596939095
31,-0.5262873343935781,-0.00028837662158552303,4.064278401299186
32,-0.5245588434163889,-0.0002874295032418567,3.9062586283551033
33,-0.5277631879395102,-0.00028918530846000604,3.8415783070939087
34,-0.52681664381038,-0.0002886666541426742,3.902698941106472
35,-0.5342324642888554,-0.0002927301174185514,4.021490499305262
36,-0.5720245872904888,-0.0003134381300221861,3.989616263497731
37,-0.5251926393353189,-0.0002877767886768876,3.95046529782277
38,-0.5097446034334796,-0.0002793121114704003,3.9179041335387574
39,-244.7796757112286,-0.13412584970478275,3.640892359853788
40,-170.52407511196023,-0.09343784937641661,3.680913371848437
41,-112.1607625970848,-0.06145795210799159,3.6862432168844865
42,-90.43540087496581,-0.049553644315049786,3.734094443442909
43,-63.77382504194158,-0.034944561666817246,3.716503570911589
44,-240.2207173464073,-0.1316277903267985,3.630821424458371
45,-581.8960844765595,-0.318847169576197,3.565401199477877
46,-401.27730142215114,-0.21987797338200046,3.6041078556752226
